Date,Contract,Units,Volume,LowPrice,HighPrice,AvgPrice,LastPrice
9/23/2000,Rep,182,70.124,0.375,0.399,0.385,0.382
9/24/2000,Dem,"1,149",673.582,0.58,0.613,0.586,0.58
9/24/2000,Reform,369,0.742,0.002,0.003,0.002,0.002
9/24/2000,Rep,328,132.326,0.385,0.409,0.403,0.409
9/25/2000,Dem,"1,596",931.118,0.575,0.606,0.583,0.588
9/25/2000,Reform,"1,236",3.707,0.002,0.004,0.003,0.003
9/25/2000,Rep,"1,563",647.452,0.407,0.42,0.414,0.417
9/26/2000,Dem,397,232.436,0.581,0.594,0.585,0.59
9/26/2000,Reform,"4,441",17.443,0.002,0.004,0.004,0.002
9/26/2000,Rep,709,298.402,0.41,0.44,0.421,0.411
9/27/2000,Dem,531,307.8,0.573,0.59,0.58,0.573
9/27/2000,Reform,659,2.162,0.003,0.004,0.003,0.003
9/27/2000,Rep,253,105.947,0.41,0.433,0.419,0.425
9/28/2000,Dem,548,315.75,0.565,0.583,0.576,0.58
9/28/2000,Reform,531,1.848,0.003,0.004,0.003,0.004
9/28/2000,Rep,371,156.278,0.41,0.439,0.421,0.428
9/29/2000,Dem,272,159.859,0.57,0.599,0.588,0.57
9/29/2000,Reform,93,0.356,0.002,0.004,0.004,0.002
9/29/2000,Rep,935,394.284,0.42,0.435,0.422,0.425
9/30/2000,Dem,195,110.585,0.566,0.57,0.567,0.566
9/30/2000,Reform,187,0.375,0.002,0.003,0.002,0.002
9/30/2000,Rep,632,281.389,0.428,0.459,0.445,0.436
10/1/2000,Dem,238,135.023,0.566,0.578,0.567,0.578
10/1/2000,Reform,16,0.032,0.002,0.003,0.002,0.002
10/1/2000,Rep,115,48.296,0.396,0.436,0.42,0.396
10/2/2000,Dem,644,384.653,0.569,0.624,0.597,0.611
10/2/2000,Reform,580,1.222,0.002,0.003,0.002,0.002
10/2/2000,Rep,544,222.716,0.396,0.428,0.409,0.396
10/3/2000,Dem,"1,840","1,151.41",0.593,0.65,0.626,0.6
10/3/2000,Reform,590,0.86,0.001,0.003,0.001,0.001
10/3/2000,Rep,"4,427","1,734.28",0.346,0.437,0.392,0.38
10/4/2000,Dem,"1,021",659.643,0.62,0.659,0.646,0.659
10/4/2000,Reform,554,0.579,0.001,0.002,0.001,0.001
10/4/2000,Rep,970,346.284,0.325,0.367,0.357,0.325
10/5/2000,Dem,"1,228",830.258,0.641,0.7,0.676,0.68
10/5/2000,Reform,105,0.127,0.001,0.002,0.001,0.002
